,K,O,S,IC,OC,iprec,wprec,cycle
664,1,14,1,1024,512,5,8,201723
665,1,14,1,1024,512,6,2,64001
666,1,14,1,1024,512,6,3,101996
667,1,14,1,1024,512,6,4,102343
668,1,14,1,1024,512,6,5,201343
669,1,14,1,1024,512,6,6,201348
670,1,14,1,1024,512,6,7,201675
671,1,14,1,1024,512,6,8,201761
672,1,14,1,1024,512,7,2,68182
673,1,14,1,1024,512,7,3,102007
674,1,14,1,1024,512,7,4,102913
675,1,14,1,1024,512,7,5,201345
676,1,14,1,1024,512,7,6,201627
677,1,14,1,1024,512,7,7,202215
678,1,14,1,1024,512,7,8,202385
679,1,14,1,1024,512,8,2,72364
680,1,14,1,1024,512,8,3,108545
681,1,14,1,1024,512,8,4,111276
682,1,14,1,1024,512,8,5,201347
683,1,14,1,1024,512,8,6,202046
684,1,14,1,1024,512,8,7,202217
685,1,14,1,1024,512,8,8,202388
686,1,14,2,128,256,2,2,17670
687,1,14,2,128,256,2,3,17499
688,1,14,2,128,256,2,4,17670
689,1,14,2,128,256,2,5,17841
690,1,14,2,128,256,2,6,18011
691,1,14,2,128,256,2,7,18182
692,1,14,2,128,256,2,8,18353
693,1,14,2,128,256,3,2,17459
694,1,14,2,128,256,3,3,17630
695,1,14,2,128,256,3,4,17801
696,1,14,2,128,256,3,5,17971
697,1,14,2,128,256,3,6,18142
698,1,14,2,128,256,3,7,18313
699,1,14,2,128,256,3,8,18483
700,1,14,2,128,256,4,2,17590
701,1,14,2,128,256,4,3,17761
702,1,14,2,128,256,4,4,17931
703,1,14,2,128,256,4,5,18102
704,1,14,2,128,256,4,6,18273
705,1,14,2,128,256,4,7,18443
706,1,14,2,128,256,4,8,18614
707,1,14,2,128,256,5,2,17721
708,1,14,2,128,256,5,3,17891
709,1,14,2,128,256,5,4,18062
710,1,14,2,128,256,5,5,18233
711,1,14,2,128,256,5,6,18403
712,1,14,2,128,256,5,7,18574
713,1,14,2,128,256,5,8,18745
714,1,14,2,128,256,6,2,17851
715,1,14,2,128,256,6,3,18022
716,1,14,2,128,256,6,4,18193
717,1,14,2,128,256,6,5,18363
718,1,14,2,128,256,6,6,18534
719,1,14,2,128,256,6,7,18705
720,1,14,2,128,256,6,8,18875
