config,latency(ms),power(mWatt)
layer-width_56-height_56-cin_12-cout_64-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_64-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_64-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_64-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_8-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,0.07180275,0.02493861204067912
layer-width_56-height_56-cin_12-cout_8-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,0.071804125,0.024964362361054666
layer-width_56-height_56-cin_12-cout_8-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,0.071806125,0.025015907007062476
layer-width_56-height_56-cin_12-cout_8-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,0.07180275,0.02493861204067912
layer-width_56-height_56-cin_12-cout_8-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,0.071804125,0.024964362361054666
layer-width_56-height_56-cin_12-cout_8-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,0.071806125,0.025015907007062476
layer-width_56-height_56-cin_12-cout_8-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,0.07180275,0.02493861204067912
layer-width_56-height_56-cin_12-cout_8-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,0.071804125,0.024964362361054666
layer-width_56-height_56-cin_12-cout_8-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,0.071806125,0.025015907007062476
layer-width_56-height_56-cin_16-cout_12-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,0.07343775,0.02521561692354486
layer-width_56-height_56-cin_16-cout_12-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,0.07343975,0.02526600814608023
layer-width_56-height_56-cin_16-cout_12-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,0.07344375,0.025366782357711525
layer-width_56-height_56-cin_16-cout_12-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,0.07343775,0.02521561692354486
layer-width_56-height_56-cin_16-cout_12-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,0.07343975,0.02526600814608023
layer-width_56-height_56-cin_16-cout_12-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,0.07344375,0.025366782357711525
layer-width_56-height_56-cin_16-cout_12-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,0.07343775,0.02521561692354486
